id,Last name,First name,,Occupation(s),Inventions / accomplishments
1,Amos,Harold,,Microbiologist,First African-American department chair at Harvard Medical School
2,Alcorn,George Edward,Jr.,"Physicist, inventor",Invented a method of fabricating an imaging X-ray spectrometer
3,Andrews,James J.,,Mathematician,"Put forth the Andrews–Curtis conjecture in group theory with Morton L. Curtis, still unsolved"
4,Alexander,Archie,,Civil engineer,"Responsible for the construction of many roads and bridges, including the Whitehurst Freeway, the Tidal Basin Bridge, and an extension to the Baltimore-Washington Parkway."
5,Bailey,Leonard C.,,Inventor,Folding bed (debatable - another source says it was Sarah Goode in 1885.)
6,Ball,Alice Augusta,,Chemist,Extracted chaulmoogra oil for the treatment of Hansen's disease (leprosy)
7,Banneker,Benjamin,,Almanac author; surveyor; farmer,Constructed wooden clock; astronomer; assisted in the survey of the original boundaries of the District of Columbia; authored a series of almanacs and ephemerides; naturalist: recorded observations on emergences of periodical cicadas and on the behavior of honey bees.
8,Banyaga,Augustin,,Mathematician,Work on diffeomorphisms and symplectomorphisms
9,Bashen,Janet,,"Inventor, entrepreneur, professional consultant","First African-American woman to receive a patent for a web-based software invention, LinkLine, an Equal Employment Opportunity case management and tracking software"
10,Bath,Patricia,,Ophthalmologist,"First African-American female physician to receive a patent for a medical invention; inventions relate to cataract surgery and include the Laserphaco Probe, which revolutionized the industry in the 1980s, and an ultrasound technique for treatment"
11,Beard,Andrew,,"Farmer, carpenter, blacksmith, railroad worker, businessman, inventor","Janney coupler improvements; invented the car device #594,059 dated November 23, 1897; rotary engine patent #478,271 dated July 5, 1892"
12,Bell,Earl S.,,"Inventor, entrepreneur, architect, industrial designer",Invented chair with sliding skin (2004) and the quantitative display apparatus (2005)
13,Benjamin,Miriam,,"Inventor, educator","Invented ""Gong and Signal Chair for Hotels""; second African-American woman to receive a patent"
14,Berry,Leonidas,,Gastroenterologist,Gastroscope pioneer
15,Bharucha-Reid,Albert T.,,"Mathematician, statistician",Probability theory and Markov chain theorist
16,Black,Keith,,Neurosurgeon,Brain tumor surgery and research
17,Blackwell,David,,"Mathematician, statistician","First proposed the Blackwell channel model used in coding theory and information theory; one of the eponyms of the Rao–Blackwell theorem, which is a process that significantly improves crude statistical estimators"
18,Blair,Henry,,Inventor,Second black inventor to issue a patent; invented seed planter and cotton planter.
19,Boahen,Kwabena,,Bioengineer,Silicon retina able to process images in the same manner as a living retina
20,Boone,Sarah,,Inventor,Ironing board allowing sleeves of women's garments to be ironed more easily
21,Bouchet,Edward,,Physicist,First African-American to receive a PhD in any subject; received physics doctorate from Yale University in 1876
22,Bowman,James,,Physician,Pathologist and geneticist; Professor Emeritus Pritzker School of Medicine; first tenured African-American professor at the University of Chicago Division of Biological Sciences
23,Boykin,Otis,,"Inventor, engineer",Artificial heart pacemaker control unit
24,Brady,St. Elmo,,Chemist,Published three scholarly abstracts in Science; collaborated on a paper published in the Journal of Industrial and Engineering Chemistry
25,Branson,Herman,,"Physicist, educator",Protein structure research
26,Brooks,Charles,,Inventor[citation needed],Street sweeper truck and a type of paper punch
27,Henry Brown,,,Inventor,Invented fire safe
28,Brown,Oscar E.,,Inventor,Received a patent for an improved horseshoe[46]
29,Brown,Marie Van Brittan,,Inventor,Invented the home security system
30,Burr,John Albert,,Inventor,Rotary-blade lawn mower patent
31,Cannon,Thomas C.,,Inventor,"Led a group of engineers who developed the Tactical Optical Fiber Connector (TOFC), the first fiber optic connector deployed under battlefield conditions, and the ST Connector that helped make fiber optic communications affordable."
32,Cardozo,William Warrick,,Pediatrician,"Sickle cell anemia studies; in October 1937 he published ""Immunologic Studies in Sickle Cell Anemia"" in the Archives of Internal Medicine; many of the findings are still valid today"
33,Carson,Ben,,Pediatric neurosurgeon,Pediatric neurosurgery at Johns Hopkins University; first surgeon to successfully separate craniopagus twins
34,Carruthers,George,,Astrophysicist,"Invented ultraviolet camera/spectrograph, which was used by NASA when it launched Apollo 16 in 1972"
35,Carver,George Washington,,Botanical researcher,"Discovered hundreds of uses for previously useless vegetables and fruits, principally the peanut"
36,Chappelle,Charles W.,,"Electrician, construction, international businessman, and aviation pioneer","Designed long-distance flight airplane; the only African-American to invent and display the airplane at the 1911 First Industrial Air Show held in conjunction with the Auto Show at Grand Central Palace in Manhattan in New York City; president of the African Union Company, Inc."
37,Chappelle,Emmett,,Scientist and researcher,"Valuable contributions to several fields: medicine, biology, food science, and astrochemistry"
38,Clark,Mamie,,Psychologist,Conducted 1940s experiments using dolls to study children's attitudes about race
39,Clark,Kenneth,,Psychologist,First Black president of the American Psychological Association
40,Crosthwait,David,Jr.,Research engineer,"Heating, ventilation, and air conditioning; received some 40 US patents relating to HVAC systems"
41,Curtis,James H (Nick),,"Researcher, chemist (electronics/specialty chemicals)","Organic ionogen for aluminum electrolytic capacitors, cationic dialdehyde polysaccharides for wet strength paper and others, US Patent Office US Pat #3609467 US Pat #3547423 and others"
42,Dabiri,John,,Biophysicist,Expert on jellyfish hydrodynamics and designer of a vertical-axis wind farm adapted from schooling fish
43,Daly,Marie Maynard,,Chemist,First black American woman with a PhD in chemistry
44,Dean,Mark,,Computer scientist,"Led the team that developed the ISA bus, and led the design team responsible for creating the first one-gigahertz computer processor chip"
45,Drew,Charles,,Medical researcher,Developed improved techniques for blood storage
46,Du Chaillu,Paul,,ZoologistexplorerAnthropologist,"Explorer; first modern European outsider to confirm the existence of gorillas, and later the Pygmy people of central Africa; identified as white throughout life, but his mother was a Réunionnais mulatto; settled in America and considered it his country by adoption; the full aspects of his ancestry were not uncovered until 1979, and are still little known today"
47,Easley,Annie,,Computer scientist,"Work at the Lewis Research Center of the National Aeronautics and Space Administration and its predecessor, the National Advisory Committee for Aeronautics"
48,Ellis,"Clarence ""Skip""",,Computer scientist,First African American with a PhD in computer science; software inventor including OfficeTalk at Xerox PARC
49,Ezerioha,Bisi,,Automotive engineer,Drag racing engineer and driver
50,Ferguson,Lloyd Noel,,"Chemist, educator","Chemistry doctorate, first received (1943, University of California, Berkeley)"
51,Fryer,Roland G.,Jr.,"Economist, social scientist, statistician",Inequality studies
52,Gates,Sylvester James,,Theoretical physicist,"Work on supersymmetry, supergravity, and superstring theory"
53,Goode,Sarah E.,,Inventor,Cabinet bed invention; first African-American woman to receive a patent in the United States
54,Gilbert,Juan E.,,Computer scientist,Awarded the first Presidential Endowed Chair at Clemson University in honor of his accomplishments
55,Grant,George F.,,"Dentist, professor","The first African-American professor at Harvard, Boston dentist, and inventor of a wooden golf tee."
