rank,Youtuber,subscribers,video views,video count,category,started
380,Farruko,"17,900,000","8,480,000,414",193,Music,2009
381,Diana and Roma EN,"17,900,000","3,868,166,958",424,People & Blogs,2011
382,ArianaGrandeVevo,"17,800,000","19,011,269,725",177,Music,2010
383,Like Nastya Vlog,"17,800,000","7,561,933,732",397,People & Blogs,2016
384,Demi Lovato,"17,800,000","6,495,131,112",282,Music,2008
385,Lele Pons,"17,800,000","4,958,584,356",154,Comedy,2015
386,Lil Pump,"17,800,000","4,091,109,829",59,Music,2015
387,Naisa Alifia Yuriza (N.A.Y),"17,800,000","2,521,515,641","1,462",People & Blogs,2017
388,SCTV,"17,700,000","8,588,329,369","50,080",Entertainment,2011
389,Good Mythical Morning,"17,700,000","8,074,270,215","2,980",Entertainment,2008
390,TheGrefg,"17,700,000","6,077,820,746","3,332",Gaming,2012
391,Ali-A,"17,700,000","5,766,028,299","3,920",Gaming,2006
392,Marmok,"17,700,000","3,131,925,799",344,Gaming,2008
393,Mother Goose Club Playhouse,"17,600,000","15,500,399,390","1,282",Shows,2009
394,RsiamMusic : อาร์สยาม,"17,600,000","10,952,154,122","2,663",Music,2011
395,Little Angel Español - Canciones Infantiles,"17,600,000","8,525,569,510",580,Education,2018
396,Познаватель,"17,600,000","8,522,826,642",476,Entertainment,2014
397,JFlaMusic,"17,600,000","3,657,526,529",282,Music,2011
398,Village Cooking Channel,"17,600,000","4,477,436,881",211,Howto & Style,2018
399,FactTechz,"17,500,000","2,112,929,572",578,Entertainment,2016
400,Sebastián Yatra,"17,400,000","9,316,925,082",196,News & Politics,2013
401,officialpsy,"17,400,000","9,825,292,199",119,Music,2010
402,Vlad and Niki IDN,"17,400,000","8,231,518,268",392,,2018
403,Porta dos Fundos,"17,400,000","7,258,838,590","1,960",Entertainment,2012
404,Liza Koshy,"17,400,000","2,595,554,113",189,Comedy,2013
405,etvteluguindia,"17,300,000","19,465,295,267","111,360",Entertainment,2010
406,Vijay Television,"17,300,000","19,901,616,359","27,059",Entertainment,2007
407,TED-Ed,"17,300,000","3,287,834,094","1,948",Education,2011
408,Stubborn Facts,"17,300,000","827,786,482",217,Film & Animation,2016
409,PopularMMOs,"17,200,000","14,475,783,059","4,686",Gaming,2012
410,SQUEEZIE,"17,200,000","9,258,609,822","1,471",Gaming,2011
411,Masha e o Urso,"17,200,000","7,131,816,532",856,Shows,2016
412,Willyrex,"17,200,000","4,808,457,361","6,686",Gaming,2009
413,RobleisIUTU,"17,200,000","4,680,573,231","1,145",Entertainment,2013
414,EeOneGuy,"17,200,000","3,804,413,513",363,Entertainment,2013
415,LuisFonsiVEVO,"17,100,000","14,008,585,257",96,Music,2009
416,GRAMMY GOLD OFFICIAL,"17,100,000","17,974,040,182","5,334",Music,2014
417,SUPER SLICK SLIME SAM,"17,100,000","6,078,466,417",741,Howto & Style,2018
418,HowToBasic,"17,100,000","3,561,001,854",563,Howto & Style,2011
419,李子柒 Liziqi,"17,100,000","2,801,548,472",128,Howto & Style,2017
420,Gaby and Alex,"17,000,000","7,942,553,236",351,Entertainment,2012
421,شبكة العاب العرب | Arab Games Network,"17,000,000","7,723,277,433","5,515",Gaming,2013
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"17,000,000","6,221,383,175",192,Education,2017
423,Rafa & Luiz,"17,000,000","6,273,315,738","2,184",Entertainment,2015
424,Khan GS Research Centre,"17,000,000","1,670,639,781",347,Education,2019
425,हिंदी - Genevieve's Playhouse,"16,900,000","9,195,178,282",96,Education,2018
426,الـريماس - Al-Remas,"16,900,000","10,550,888,024","2,047",Music,2013
427,Junya.じゅんや,"16,900,000","9,529,205,653","3,150",Entertainment,2020
428,Guava Juice,"16,900,000","8,614,218,175","1,754",Gaming,2006
429,Doggy Doggy Cartoons,"16,800,000","6,459,285,262","4,723",Entertainment,2012
430,IGN,"16,800,000","14,633,922,961","149,770",Gaming,2006
431,Jason Derulo,"16,800,000","8,808,599,101",451,Music,2008
432,Maya and Mary,"16,800,000","6,304,251,610",539,Entertainment,2013
433,DUDU e CAROL,"16,700,000","6,530,946,230","2,874",Autos & Vehicles,2013
434,Jane ASMR 제인,"16,700,000","6,443,586,305","1,546",,2012
435,Anitta,"16,700,000","6,610,175,435",99,Music,2011
436,Werever2morro,"16,700,000","2,714,071,108",972,Entertainment,2007
437,Triggered Insaan,"16,700,000","2,657,491,028",265,Comedy,2014
438,7clouds,"16,600,000","11,637,964,945","1,940",Music,2013
439,Tu COSMOPOLIS,"16,600,000","4,875,900,353","6,796",People & Blogs,2014
440,DeToxoMoroxo,"16,600,000","2,212,149,791",488,Entertainment,2012
441,Sourav Joshi Vlogs,"16,500,000","5,970,849,535","1,039",People & Blogs,2019
442,TheBrianMaps,"16,500,000","4,090,289,417",476,Comedy,2012
443,Manual do Mundo,"16,500,000","3,367,572,384","2,117",Howto & Style,2006
444,SonyMusicSouthVEVO,"16,400,000","15,090,557,603","4,304",Music,2014
445,zbing z.,"16,400,000","8,307,904,773","2,763",Gaming,2014
446,Dhar Mann,"16,400,000","8,642,459,264",649,People & Blogs,2018
447,IDEAS EN 5 MINUTOS,"16,400,000","3,509,049,258","4,658",Howto & Style,2017
448,W2S,"16,300,000","4,739,609,055",653,Gaming,2012
449,Shemaroo Comedy,"16,300,000","4,923,411,314","3,467",Entertainment,2007
450,ExtraPolinesios,"16,300,000","4,696,367,446",480,People & Blogs,2012
451,Goldmines Great Indian Comedy,"16,300,000","4,238,595,667","2,008",Film & Animation,2016
452,Prajapati News,"16,300,000","907,965,523","1,081",Comedy,2013
453,SOMOY TV,"16,200,000","9,476,895,180","124,072",News & Politics,2015
454,Sony AATH,"16,200,000","10,718,891,416","14,759",Shows,2013
455,Miley Cyrus,"16,200,000","6,235,405,830",124,Entertainment,2009
456,Sandra Cires Art,"16,200,000","3,702,173,328",953,Howto & Style,2011
457,tanboy kun,"16,200,000","3,020,272,233",582,People & Blogs,2016
458,Sidhu Moose Wala,"16,200,000","4,078,330,367",111,Music,2017
459,Blippi - Educational Videos for Kids,"16,100,000","12,991,967,769",453,Education,2014
460,Queen Official,"16,100,000","9,723,539,941",908,Music,2008
461,Travis Scott,"16,100,000","7,187,033,169",13,Music,2013
462,Les' Copaque Production,"16,100,000","7,954,662,776","1,427",Film & Animation,2009
463,Zuni and Family,"16,100,000","5,830,669,187",176,People & Blogs,2017
464,Sidemen,"16,100,000","4,196,033,350",264,Entertainment,2015
465,The Game Theorists,"16,100,000","3,546,490,692",659,Gaming,2009
466,Antrax,"16,100,000","2,949,891,202",654,Gaming,2015
467,Canal IN,"16,100,000","2,573,050,059",723,People & Blogs,2017
468,Dushyant kukreja,"16,000,000","11,095,340,736",571,Entertainment,2015
469,TRANS TV Official,"16,000,000","8,780,937,851","123,467",Entertainment,2014
470,Little Mix,"16,000,000","7,047,968,268",278,Music,2011
471,RKD Studios,"16,000,000","4,133,234,619",622,Entertainment,2014
472,FailArmy,"16,000,000","2,041,620,563",337,Comedy,2011
473,El Reino a Jugar,"15,900,000","10,175,537,321",872,Education,2015
474,DopeLyrics,"15,900,000","9,803,533,121","1,937",Music,2016
475,Boyce Avenue,"15,900,000","6,230,190,520",438,Music,2007
476,Camila Cabello,"15,900,000","6,086,165,889",61,Music,2015
477,VICE,"15,900,000","4,174,962,442","3,694",Entertainment,2005
478,Kaykai Salaider,"15,900,000","4,248,704,474",399,Comedy,2011
479,Fede Vigevani,"15,900,000","4,745,414,554",865,Howto & Style,2009
480,Marques Brownlee,"15,900,000","3,082,486,680","1,454",Science & Technology,2008
481,jeffreestar,"15,900,000","2,575,183,135",428,Howto & Style,2006
482,Apple,"15,900,000","808,136,104",205,Science & Technology,2005
483,Kids Play,"15,800,000","7,713,981,883",545,Entertainment,2018
484,Aayu and Pihu Show,"15,800,000","7,837,311,552",352,Comedy,2017
485,JJ Olatunji,"15,800,000","3,631,494,389","1,183",Gaming,2011
486,Katie Angel,"15,800,000","3,007,947,714",732,People & Blogs,2015
487,MissaSinfonia,"15,800,000","1,918,777,559",232,Comedy,2011
488,AMARINTV : อมรินทร์ทีวี,"15,700,000","11,194,074,075","97,231",Entertainment,2014
489,Rotten Tomatoes Trailers,"15,700,000","12,811,981,848","9,582",Film & Animation,2011
490,Pitbull,"15,700,000","11,458,130,113",302,Music,2006
491,Enes Batur,"15,700,000","9,410,061,135","1,979",Gaming,2012
492,Jennifer Lopez,"15,700,000","9,512,025,119",224,Music,2005
493,Jason Vlogs,"15,700,000","7,137,778,517",666,Education,2015
494,Alejo Igoa,"15,700,000","5,276,127,016",699,Comedy,2014
495,Matt Stonie,"15,700,000","3,249,162,653",401,Entertainment,2012
496,Caeli YT,"15,700,000","1,509,244,860",545,Entertainment,2010
497,Pop Chartbusters,"15,600,000","7,817,983,360","2,154",Music,2011
498,Tilak,"15,600,000","6,132,515,137","3,614",Film & Animation,2020
499,AdMe,"15,600,000","4,012,749,893","5,356",Entertainment,2015
500,FunFun Toy Doll TV,"15,500,000","6,948,469,648",706,Entertainment,2016
