id,Rank,Mountain name,Height in m,Height in ft,Prominence in m,Range,Parent mountain,First ascent,Ascents (& failed attempts) as of 2004,Country
95,95,Apsarasas Kangri,7245,23770,607,Siachen Karakoram,Teram Kangri I,1976,2,"India, China"
74,74,Sherpi Kangri,7380,24213,1320,Saltoro Karakoram,Ghent Kangri,1976,1,"India, Pakistan"
43,43,Skyang Kangri,7545,24754,1085,Baltoro Karakoram,K2,1976,1,"Pakistan, China"
25,25,Batura Sar,7795,25574,3118,Batura Karakoram,Distaghil Sar,1976,4,Pakistan
86,86,Baintha Brakk / The Ogre,7285,23901,1891,Panmah Karakoram,Kanjut Sar,1977,3,Pakistan
98,98,Langtang Lirung,7227,23711,1534,Langtang Himalaya,Shishapangma,1978,14,Nepal
108,108,Lupghar Sar,7200,23622,730,Hispar Karakoram,Momhil Sar,1979,1,Pakistan
73,73,Teram Kangri III,7382,24219,520,Siachen Karakoram,Teram Kangri I,1979,1,"India, China"
53,53,Pumari Chhish,7492,24580,884,Hispar Karakoram,Khunyang Chhish,1979,1,Pakistan
20,20,Ngadi Chuli,7871,25823,1011,Manaslu Himalaya,Manaslu,1979,1,Nepal
87,87,Yutmaru Sar,7283,23894,680,Hispar Karakoram,Yukshin Gardan Sar,1980,1,Pakistan
105,105,Langtang Ri,7205,23638,665,Langtang Himalaya,Shishapangma,1981,4,"Nepal, China"
37,37,Kongur Tagh,7649,25095,3585,Kongur Shan (Eastern Pamirs),Distaghil Sar,1981,2,China
89,89,Kangpenqing / Gang Benchhen,7281,23888,1345,Baiku Himalaya,Shishapangma,1982,1,China
85,85,Porong Ri,7292,23924,512,Langtang Himalaya,Shishapangma,1982,5,China
44,44,Changtse / Bei Pk,7543,24747,514,Mahalangur Himalaya,Mount Everest,1982,9,China
55,55,Yukshin Gardan Sar,7469,24505,1374,Hispar Karakoram,Pumari Chhish,1984,4,Pakistan
47,47,Mamostong Kangri,7516,24659,1803,Rimo Karakoram,Gasherbrum I,1984,5,India
103,103,Malangutti Sar,7207,23645,507,Hispar Karakoram,Distaghil Sar,1985,1,Pakistan
97,97,Rimo III,7233,23730,613,Rimo Karakoram,Rimo I,1985,1,India
34,34,Gurla Mandhata,7694,25243,2788,Nalakankar Himalaya,Dhaulagiri,1985,6,China
104,104,Noijin Kangsang /Norin Kang,7206,23642,2160,Nagarze Himalaya,Gangkhar Puensum,1986,4,China
84,84,Gyala Peri,7294,23930,2942,Assam Himalaya,Mount Everest,1986,1,China
